,latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan,Prediksi,prediksi_normal
97,-7.225222732,107.44689,2375.77,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
98,-7.216656672,107.4604529,2287.14,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
99,-7.215228996,107.4529576,2340.5,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
100,-7.2302196,107.4572406,2290.54,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
101,-7.23878566,107.4604529,2270.06,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
102,-7.245567124,107.469019,2201.53,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
103,-7.245567124,107.4800835,2139.27,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
104,-7.232718034,107.481868,2111.9,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
105,-7.228435004,107.4936464,2025.77,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
106,-7.20916137,107.490791,2033.19,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
107,-7.221296621,107.4829388,2088.34,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
108,-7.223081217,107.4765143,2150.15,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
109,-7.213801319,107.4693759,2200.73,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
110,-7.207376774,107.464379,2259.11,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
111,-7.202022987,107.4743727,2171.49,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
112,-7.205949098,107.4804404,2115.74,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
113,-7.192029251,107.4729451,2181.15,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
114,-7.180250919,107.4729451,2198.96,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
115,-7.174540213,107.4647359,2288.14,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
116,-7.187389302,107.4572406,2346.77,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
117,-7.195598442,107.4526007,2374.0,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
118,-7.20095223,107.4386808,2501.98,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
119,-7.208447532,107.4340409,2542.3,1.0,0.8571428571428572,0.6666666666666666,Podsolik,Permukiman,0.9999926,1
120,-7.214158238,107.4308286,2541.42,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
121,-7.218798187,107.4265456,2561.99,0.125,0.8571428571428572,0.6666666666666666,Podsolik,Hutan,0.9999262,1
122,-7.241641013,107.4426069,2378.8,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
123,-7.253419345,107.4426069,2363.54,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
124,-7.252348587,107.4526007,2301.61,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
125,-7.245924043,107.4615237,2253.35,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
126,-7.200595311,107.4244041,2644.04,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.9924661,0
127,-7.194884604,107.4176226,2733.38,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.9924661,0
128,-7.202022987,107.4083427,2774.59,0.5,0.2857142857142857,0.6666666666666666,Andosol,Tegalan/Ladang,0.99930626,1
129,-7.205949098,107.4008474,2811.99,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
