latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan
-7.040116529,107.6917762,2141.36,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.046969377,107.6938701,2134.18,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.046873,107.719301,2105.28,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.045636878,107.7098601,2114.33,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.054393295,107.7075758,2112.26,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.058189208,107.708628,2110.08,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.065243637,107.6963447,2118.85,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.071335057,107.6942508,2116.78,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.051918655,107.7268018,2095.4,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.062388284,107.7241368,2094.01,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.069846,107.711012,2102.24,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.070002559,107.7178551,2095.85,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.06200757,107.7117636,2104.15,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.064291853,107.711954,2103.22,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.063665,107.716746,2099.71,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.070613,107.721844,2092.99,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.024697622,107.674073,2179.98,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.020890484,107.6782608,2177.05,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
